progetto,slug,descrizione,link,image
vite boolflix,vite-boolflix,replica di Netflix,https://github.com/Francesca-Barletta/vite-boolflix,
htmlcss discord,htmlcss-discord,replica del sito di Discord,https://github.com/Francesca-Barletta/htmlcss-discord,
htmlcss boolando,htmlcss-boolando,replica di Zalando,https://github.com/Francesca-Barletta/html-css-boolando,
htmlcss dropbox,htmlcss dropbox,replica del sito di Dropbox,https://github.com/Francesca-Barletta/htmlcss-dropbox,
htmlcss boolzapp,Html-css-boolzapp,replica di whatsapp,https://github.com/Francesca-Barletta/html-css-boolzapp,
js mail dati,Js-mail-dadi,esercizio javascript,https://github.com/Francesca-Barletta/js-mail-dadi,
js campominato grid,Js-campominato-grid,esercizio js replica campominato,https://github.com/Francesca-Barletta/js-campominato-grid,
mastermind,mastermind,esercizio js replica mastermind,https://github.com/Francesca-Barletta/mastermind,
shopping cart,Shopping-cart,esercizio di classe replica shopping cart,https://github.com/Francesca-Barletta/shopping-cart,
vue slider,vue-slider,esercizio js creazione di uno slider,https://github.com/Francesca-Barletta/vue-slider,
vue todolist,vue-todolist,esercizio con vue-js creazione di una todolist,https://github.com/Francesca-Barletta/vue-todolist,
vite boolando,vite-boolando,esercizio con vite riproduzione di zalando dinamica,https://github.com/Francesca-Barletta/vite-boolando,
proj html vuejs,proj-html-vuejs,esercitazione di metà corso front-end,https://github.com/Francesca-Barletta/proj-html-vuejs,
